DMA,Sector,Household,Non-household
380,WF4 2,583,27
382,YO24 4,403,9
383,HU15 2,41,9
383,YO43 4,672,76
384,HU17 9,440,7
385,DN4 9,1142,16
386,S70 5,1736,60
387,BD8 7,314,48
388,LS24 8,52,20
388,YO23 7,419,58
389,YO32 9,158,106
390,BD16 2,224,10
390,BD16 4,517,58
391,OL14 5,473,24
392,DN6 0,168,56
392,DN7 5,97,23
393,LS21 2,67,19
394,S36 2,1017,11
395,LS26 0,1184,17
396,S10 1,988,92
398,BD16 1,1002,63
398,BD16 2,534,178
398,BD16 4,21,13
399,HD9 6,22,9
399,HD9 7,688,53
400,WF7 7,976,37
401,YO62 4,156,28
402,OL14 5,474,9
405,LS12 4,357,19
406,S8 8,1010,103
407,HX2 6,701,12
408,LS7 2,832,15
408,LS7 3,276,15
409,HD2 2,913,12
410,WF11 8,456,73
410,WF11 9,655,24
411,S4 8,1247,89
411,S5 6,94,25
412,HX6 4,168,7
414,LS13 1,697,12
415,HG4 1,1607,277
415,HG4 3,126,13
416,BD13 5,1107,48
417,BD17 7,84,12
417,LS20 8,1744,160
417,LS20 9,41,13
418,YO17 6,306,15
419,S35 7,74,6
419,S75 3,570,52
420,YO17 7,608,316
421,DN14 5,1090,36
423,S61 4,1411,11
424,LS16 7,1006,7
425,HD3 4,550,124
426,S2 4,274,127
429,HX6 3,245,15
431,WF17 6,866,40
431,WF17 7,23,7
432,HU6 9,926,7
433,WF16 0,257,8
433,WF16 9,36,10
433,WF17 7,364,10
434,HD9 6,1120,23
435,S12 2,2468,48
436,WF7 6,254,11
437,LS18 4,566,11
438,LS27 8,2601,65
439,S66 1,1095,22
439,S66 2,269,29
439,S66 8,53,8
440,YO30 4,1054,55
441,HD4 5,1114,22
441,HD4 7,336,6
442,HU9 2,1118,23
442,HU9 3,1285,71
444,S60 5,1804,56
445,YO31 0,815,15
445,YO31 7,110,8
447,YO12 4,811,43
448,DL11 6,451,77
448,DL11 7,23,11
449,HX3 0,1189,31
451,S8 0,55,6
451,S8 9,976,10
452,BD23 2,1955,71
454,S63 6,1076,26
454,S73 0,1299,39
455,BD23 1,933,207
455,BD23 2,75,66
455,BD23 6,27,6
456,S11 9,648,15
457,YO25 4,1079,41
457,YO25 8,77,10
458,LS14 2,1786,17
459,LA2 7,122,33
459,LA6 3,810,116
460,HX3 8,1874,106
461,HD1 3,787,86
461,HD4 6,141,13
461,HD4 7,38,15
462,S63 7,940,14
463,DN12 2,1144,19
463,DN12 3,29,9
464,S8 0,313,24
464,S8 9,303,7
465,WF4 5,554,80
465,WF4 6,1652,88
466,HX3 8,272,32
467,BD21 4,69,22
468,HU12 8,260,23
469,HD4 6,1063,20
470,S36 1,1016,15
470,S36 2,446,7
472,DN5 0,763,27
474,S6 1,887,54
475,HX2 8,123,15
475,HX2 9,1754,25
476,YO7 3,715,129
478,HG4 4,90,37
479,LS17 9,204,18
480,S66 8,713,15
481,HX3 7,950,59
482,BD4 7,67,63
483,BD9 5,309,11
483,BD9 6,355,9
484,S63 6,1392,54
486,BD23 5,678,83
487,S11 7,1404,12
488,LS14 6,1153,37
489,DN14 9,831,42
489,YO8 8,97,6
490,HU13 9,2180,16
491,LS15 8,804,19
492,DN12 1,874,53
492,DN12 2,24,8
492,S66 7,43,6
494,OL14 5,60,9
494,OL14 6,272,17
496,LS6 1,118,7
496,LS6 2,21,15
498,LS18 4,255,8
499,BD9 6,620,7
500,YO12 6,593,16
500,YO13 0,151,15
501,S2 1,519,35
502,HU8 9,1784,18
503,S5 9,501,6
504,DN3 1,373,17
505,YO51 9,1237,193
506,WF1 2,541,7
506,WF3 3,312,9
507,LS13 4,1742,80
508,HG3 3,120,29
509,YO16 4,249,42
510,S75 4,611,48
513,BD4 0,930,6
514,DN14 0,477,76
516,YO25 4,106,20
516,YO25 8,30,9
517,YO17 8,121,25
518,HD3 3,620,58
519,S66 7,1292,57
519,S66 8,80,24
520,S61 1,734,29
521,BD9 4,718,69
522,HG4 1,742,74
522,HG4 2,510,33
522,HG4 3,28,10
523,LS5 3,862,116
524,YO24 2,1933,24
525,BD7 2,450,16
526,WF17 5,276,20
526,WF17 7,349,14
527,HG4 3,564,75
528,BD6 2,1269,30
529,S35 0,853,17
530,LS17 6,837,19
531,BD17 5,492,8
531,BD17 7,181,8
532,S6 6,61,83
533,DN5 0,2046,71
534,S6 3,298,70
535,HX1 2,238,81
536,S70 3,217,7
537,S70 6,807,27
538,WF8 1,882,87
538,WF8 2,172,26
539,YO19 6,554,37
540,WF2 7,569,43
540,WF2 8,182,19
542,S12 2,683,54
542,S13 8,933,13
543,WF10 3,1353,12
543,WF8 1,1013,13
544,HG4 4,55,14
545,LS25 5,289,27
545,WF11 9,39,10
547,S36 9,430,30
548,LS11 7,502,29
548,LS11 8,78,39
549,HU11 5,360,26
549,HU17 5,1135,66
549,YO25 8,602,116
550,LS23 7,54,23
551,YO13 9,441,14
552,DN4 0,1244,37
553,LS22 5,78,10
553,YO26 7,859,103
